Action Call,Nodes Expanded
2,5232
3,4309
4,3587
5,3602
6,3200
7,3034
8,2952
9,2892
10,2902
11,2869
12,2831
13,2826
14,2760
15,2575
16,2351
17,2643
18,2511
19,2580
20,1670
21,1657
22,1781
23,1825
24,1809
25,2505
26,2815
27,2672
28,2510
29,2647
30,2552
31,2652
32,2408
33,2260
34,2225
35,1898
36,2267
37,2637
38,2507
39,2667
40,2612
41,2801
42,2709
43,2759
44,2728
45,2536
46,2703
47,2682
48,2681
49,2336
50,2149
51,2047
52,1878
53,1770
54,2530
55,2628
56,2603
57,2558
58,2536
59,2498
60,2441
61,2479
62,2514
63,2437
64,2388
65,2325
66,1903
67,2004
68,1993
69,1934
70,2496
71,2449
72,2424
73,2470
74,2533
75,2382
